width,length,factor
2.8,3.8,0.952
2.8,5.4,0.974
3.05,4.2,0.984
3,3.9,0.954
3.1,3.6,0.938
3.2,3.3,0.939
3.2,3.5,0.952
3.25,4.15,0.97
3.3,5.8,0.973
3.4,4.1,0.975
3.4,5.3,0.979
3.4,5.8,0.987
3.45,4.25,0.983
3.45,6,0.992
3.5,5.3,0.982
3.7,3.7,0.965
3.7,4.3,0.981
3.7,5.4,0.992
3.7,5.7,0.996
3.75,4.7,1.001
3.75,5.2,0.982
3.8,3.8,0.978
3.8,5.1,0.987
3.9,4.6,0.976
3.9,7.1,0.999
4,4,0.984
4.2,4.2,0.988
4.2,4.3,0.987
4.3,6.1,0.996
4.4,5.05,1.002
4.5,4.9,0.999
4.55,5,1
4.6,4.65,1.007
4.6,5.5,1.005
4.7,4.9,0.998
4.9,5.15,0.999
5.35,5.85,1.002
